"Astronaut/timeInSpace","Astronaut"
"Automobile/fuelCapacity","Automobile"
"Automobile/wheelbase","Automobile"
"Building/floorArea","Building"
"Canal/maximumBoatBeam","Canal"
"Canal/maximumBoatLength","Canal"
"Canal/originalMaximumBoatBeam","Canal"
"Canal/originalMaximumBoatLength","Canal"
"ChemicalSubstance/boilingPoint","ChemicalSubstance"
"ChemicalSubstance/density","ChemicalSubstance"
"ChemicalSubstance/meltingPoint","ChemicalSubstance"
"ConveyorSystem/diameter","ConveyorSystem"
"ConveyorSystem/height","ConveyorSystem"
"ConveyorSystem/length","ConveyorSystem"
"ConveyorSystem/mass","ConveyorSystem"
"ConveyorSystem/weight","ConveyorSystem"
"ConveyorSystem/width","ConveyorSystem"
"Drug/boilingPoint","Drug"
"Drug/meltingPoint","Drug"
"Engine/acceleration","Engine"
"Engine/co2Emission","Engine"
"Engine/cylinderBore","Engine"
"Engine/diameter","Engine"
"Engine/displacement","Engine"
"Engine/height","Engine"
"Engine/length","Engine"
"Engine/pistonStroke","Engine"
"Engine/powerOutput","Engine"
"Engine/topSpeed","Engine"
"Engine/torqueOutput","Engine"
"Engine/weight","Engine"
"Engine/width","Engine"
"Escalator/diameter","Escalator"
"Escalator/height","Escalator"
"Escalator/length","Escalator"
"Escalator/mass","Escalator"
"Escalator/weight","Escalator"
"Escalator/width","Escalator"
"Galaxy/apoapsis","Galaxy"
"Galaxy/averageSpeed","Galaxy"
"Galaxy/density","Galaxy"
"Galaxy/mass","Galaxy"
"Galaxy/maximumTemperature","Galaxy"
"Galaxy/meanRadius","Galaxy"
"Galaxy/meanTemperature","Galaxy"
"Galaxy/minimumTemperature","Galaxy"
"Galaxy/orbitalPeriod","Galaxy"
"Galaxy/periapsis","Galaxy"
"Galaxy/surfaceArea","Galaxy"
"Galaxy/temperature","Galaxy"
"Galaxy/volume","Galaxy"
"GeopoliticalOrganisation/areaMetro","GeopoliticalOrganisation"
"GeopoliticalOrganisation/populationDensity","GeopoliticalOrganisation"
"GrandPrix/course","GrandPrix"
"GrandPrix/distance","GrandPrix"
"Infrastructure/length","Infrastructure"
"Lake/areaOfCatchment","Lake"
"Lake/shoreLength","Lake"
"Lake/volume","Lake"
"LunarCrater/diameter","LunarCrater"
"MeanOfTransportation/diameter","MeanOfTransportation"
"MeanOfTransportation/height","MeanOfTransportation"
"MeanOfTransportation/length","MeanOfTransportation"
"MeanOfTransportation/mass","MeanOfTransportation"
"MeanOfTransportation/weight","MeanOfTransportation"
"MeanOfTransportation/width","MeanOfTransportation"
"MovingWalkway/diameter","MovingWalkway"
"MovingWalkway/height","MovingWalkway"
"MovingWalkway/length","MovingWalkway"
"MovingWalkway/mass","MovingWalkway"
"MovingWalkway/weight","MovingWalkway"
"MovingWalkway/width","MovingWalkway"
"On-SiteTransportation/diameter","On-SiteTransportation"
"On-SiteTransportation/height","On-SiteTransportation"
"On-SiteTransportation/length","On-SiteTransportation"
"On-SiteTransportation/mass","On-SiteTransportation"
"On-SiteTransportation/weight","On-SiteTransportation"
"On-SiteTransportation/width","On-SiteTransportation"
"Person/height","Person"
"Person/weight","Person"
"Planet/apoapsis","Planet"
"Planet/averageSpeed","Planet"
"Planet/density","Planet"
"Planet/mass","Planet"
"Planet/maximumTemperature","Planet"
"Planet/meanRadius","Planet"
"Planet/meanTemperature","Planet"
"Planet/minimumTemperature","Planet"
"Planet/orbitalPeriod","Planet"
"Planet/periapsis","Planet"
"Planet/surfaceArea","Planet"
"Planet/temperature","Planet"
"Planet/volume","Planet"
"PopulatedPlace/area","PopulatedPlace"
"PopulatedPlace/areaMetro","PopulatedPlace"
"PopulatedPlace/areaTotal","PopulatedPlace"
"PopulatedPlace/areaUrban","PopulatedPlace"
"PopulatedPlace/populationDensity","PopulatedPlace"
"PopulatedPlace/populationMetroDensity","PopulatedPlace"
"PopulatedPlace/populationUrbanDensity","PopulatedPlace"
"Rocket/lowerEarthOrbitPayload","Rocket"
"Rocket/mass","Rocket"
"School/campusSize","School"
"Software/fileSize","Software"
"SpaceMission/cmpEvaDuration","SpaceMission"
"SpaceMission/distanceTraveled","SpaceMission"
"SpaceMission/lunarEvaTime","SpaceMission"
"SpaceMission/lunarOrbitTime","SpaceMission"
"SpaceMission/lunarSampleMass","SpaceMission"
"SpaceMission/lunarSurfaceTime","SpaceMission"
"SpaceMission/mass","SpaceMission"
"SpaceMission/missionDuration","SpaceMission"
"SpaceMission/stationEvaDuration","SpaceMission"
"SpaceMission/stationVisitDuration","SpaceMission"
"SpaceShuttle/distance","SpaceShuttle"
"SpaceShuttle/timeInSpace","SpaceShuttle"
"SpaceStation/volume","SpaceStation"
"Spacecraft/apoapsis","Spacecraft"
"Spacecraft/cargoFuel","Spacecraft"
"Spacecraft/cargoGas","Spacecraft"
"Spacecraft/cargoWater","Spacecraft"
"Spacecraft/dockedTime","Spacecraft"
"Spacecraft/dryCargo","Spacecraft"
"Spacecraft/freeFlightTime","Spacecraft"
"Spacecraft/periapsis","Spacecraft"
"Spacecraft/totalCargo","Spacecraft"
"Spacecraft/totalMass","Spacecraft"
"Stream/discharge","Stream"
"Stream/dischargeAverage","Stream"
"Stream/maximumDischarge","Stream"
"Stream/minimumDischarge","Stream"
"Stream/watershed","Stream"
"Weapon/diameter","Weapon"
"Weapon/height","Weapon"
"Weapon/length","Weapon"
"Weapon/weight","Weapon"
"Weapon/width","Weapon"
"Work/runtime","Work"
"aSide","Single"
"abbeychurchBlessing","Cleric"
"abbeychurchBlessingCharge","Cleric"
"ableToGrind","Mill"
"absoluteMagnitude","CelestialBody"
"abstentions","StatedResolution"
"academicAdvisor","Scientist"
"academicDiscipline","AcademicJournal"
"academyAward","Artist"
"acceleration","AutomobileEngine"
"achievement","Person"
"acquirementDate","Ship"
"actScore","School"
"actingHeadteacher","School"
"activeYears","Person"
"activeYearsEndDateMgr","Person"
"activeYearsEndYearMgr","Person"
"activeYearsStartDateMgr","Person"
"activeYearsStartYearMgr","Person"
"activity","Person"
"added","HistoricPlace"
"address","Place"
"addressInRoad","Road"
"adjacentSettlement","Settlement"
"administrativeCenter","AdministrativeRegion"
"administrativeCollectivity","Settlement"
"administrativeDistrict","Settlement"
"administrativeHeadCity","PopulatedPlace"
"administrator","School"
"afdbId","Film"
"affair","Person"
"affiliate","FictionalCharacter"
"affiliation","Organisation"
"afiAward","Artist"
"age","Agent"
"agency","Person"
"agencyStationCode","Station"
"agglomeration","PopulatedPlace"
"agglomerationArea","PopulatedPlace"
"agglomerationDemographics","PopulatedPlace"
"agglomerationPopulation","Settlement"
"agglomerationPopulationYear","Settlement"
"aggregation","ChemicalSubstance"
"airDate","RadioStation"
"aircraftAttack","MilitaryUnit"
"aircraftBomber","MilitaryUnit"
"aircraftElectronic","MilitaryUnit"
"aircraftFighter","MilitaryUnit"
"aircraftHelicopter","MilitaryUnit"
"aircraftHelicopterAttack","MilitaryUnit"
"aircraftHelicopterCargo","MilitaryUnit"
"aircraftHelicopterMultirole","MilitaryUnit"
"aircraftHelicopterObservation","MilitaryUnit"
"aircraftHelicopterTransport","MilitaryUnit"
"aircraftHelicopterUtility","MilitaryUnit"
"aircraftInterceptor","MilitaryUnit"
"aircraftPatrol","MilitaryUnit"
"aircraftRecon","MilitaryUnit"
"aircraftTrainer","MilitaryUnit"
"aircraftTransport","MilitaryUnit"
"aircraftType","Aircraft"
"aircraftUser","Aircraft"
"airportUsing","Airport"
"albedo","Planet"
"albumRuntime","Album"
"allcinemaId","Film"
"allegiance","Person"
"alliance","Airline"
"almaMater","Person"
"alpsGroup","Mountain"
"alpsMainPart","Mountain"
"alpsMajorSector","Mountain"
"alpsSection","Mountain"
"alpsSoiusaCode","Mountain"
"alpsSubgroup","Mountain"
"alpsSubsection","Mountain"
"alpsSupergroup","Mountain"
"alternativeTitle","Work"
"altitude","Place"
"alumni","EducationalInstitution"
"amateurDefeat","Boxer"
"amateurFight","Boxer"
"amateurKo","Boxer"
"amateurNoContest","Boxer"
"amateurTeam","Athlete,_CareerStation"
"amateurTie","Boxer"
"amateurTitle","Boxer"
"amateurVictory","Boxer"
"amateurYear","Athlete,_CareerStation"
"americanComedyAward","Comedian"
"amgid","Film"
"amsterdamCode","Municipality"
"analogChannel","Broadcaster"
"animator","Cartoon"
"anniversary","MilitaryUnit"
"announcedFrom","Person"
"annualTemperature","Place"
"apoapsis","CelestialBody"
"apofocus","CelestialBody"
"apparentMagnitude","Planet"
"appearancesInLeague","SoccerPlayer"
"appearancesInNationalTeam","SoccerPlayer"
"approach","Person"
"approvedByLowerParliament","Law"
"approvedByUpperParliament","Law"
"approximateCalories","Food"
"apskritis","PopulatedPlace"
"archipelago","Island"
"architect","ArchitecturalStructure"
"architectualBureau","ArchitecturalStructure"
"architecturalMovement","Architect"
"architecturalStyle","ArchitecturalStructure"
"areaCode","Place"
"areaDate","Place"
"areaLand","Place"
"areaOfCatchment","Lake"
"areaOfCatchmentQuote","Place"
"areaOfSearch","SiteOfSpecialScientificInterest"
"areaQuote","Place"
"areaRank","Place"
"areaRural","PopulatedPlace"
"areaTotal","Place"
"areaTotalRanking","PopulatedPlace"
"areaUrban","PopulatedPlace"
"areaWater","Place"
"argueDate","SupremeCourtOfTheUnitedStatesCase"
"arielAward","Actor"
"arm","Protein"
"army","MilitaryPerson"
"arrestDate","Person"
"arrondissement","PopulatedPlace"
"artPatron","Agent"
"artery","AnatomicalStructure"
"artificialSnowArea","Place"
"artist","MusicalWork"
"artisticFunction","Person"
"asiaChampionship","Athlete"
"aspectRatio","Software"
"assembly","MeanOfTransportation"
"assetUnderManagement","Company"
"assets","Company"
"assistantPrincipal","School"
"associateEditor","Newspaper"
"associatedAct","Artist"
"associatedRocket","LaunchPad"
"associationOfLocalGovernment","Settlement"
"astrologicalSign","Person"
"atPage","Reference"
"atRowNumber","Reference"
"athletics","University"
"athleticsDiscipline","Athlete"
"atomicNumber","ChemicalElement"
"attorneyGeneral","LegalCase"
"australiaOpenDouble","TennisPlayer"
"australiaOpenMixed","TennisPlayer"
"australiaOpenSingle","TennisPlayer"
"author","Work"
"authorityMandate","Place"
"authorityTitle","RomaniaSettlement"
"automobileModel","AutomobileEngine"
"automobilePlatform","Automobile"
"availableSmartCard","Station"
"averageAnnualGeneration","PowerStation"
"averageClassSize","School"
"averageDepth","Place"
"averageDepthQuote","Place"
"avifaunaPopulation","Place"
"awardName","Person"
"bSide","Single"
"backhand","Athlete"
"badGuy","Person"
"baftaAward","Artist"
"band","Protein"
"bandMember","Band"
"barPassRate","School"
"barangays","PopulatedPlace"
"basedOn","Work"
"battingSide","BaseballPlayer"
"battleHonours","MilitaryUnit"
"beatifiedBy","Saint"
"beatifiedDate","Saint"
"beatifiedPlace","Saint"
"bedCount","Hospital"
"believers","ChristianDoctrine"
"beltwayCity","Road"
"bestFinish","SnookerPlayer"
"bestLap","Person"
"bestRankDouble","TennisPlayer"
"bestRankSingle","TennisPlayer"
"bestWsopRank","PokerPlayer"
"bestYearWsop","PokerPlayer"
"bgafdId","Film"
"bicycleInformation","Station"
"bigPoolRecord","Person"
"biggestCity","Place"
"billed","Wrestler"
"binomial","Species"
"binomialAuthority","Species"
"bioavailability","Drug"
"bioclimate","Place"
"bird","Place"
"birthDate","Person"
"birthName","Person"
"birthPlace","Person"
"birthSign","Person"
"birthYear","Person"
"bishopric","ReligiousBuilding"
"blackLongDistancePisteNumber","Place"
"blackSkiPisteNumber","Place"
"blazonCaption","Blazon"
"block","VolleyballPlayer"
"blockAlloy","AutomobileEngine"
"bloodGroup","Person"
"bloodType","Person"
"blueLongDistancePisteNumber","Place"
"blueSkiPisteNumber","Place"
"board","Person"
"bodyDiscovered","Person"
"bodyStyle","Automobile"
"boiler","Locomotive"
"boilerPressure","Locomotive"
"boilingPoint","ChemicalSubstance"
"booster","SpaceMission"
"border","Island"
"borough","PopulatedPlace"
"bourgmestre","Settlement"
"bowlRecord","CollegeCoach"
"boxerCategory","Boxer"
"boxerStyle","Boxer"
"brainInfoNumber","Brain"
"brainInfoType","Brain"
"branchFrom","AnatomicalStructure"
"branchTo","AnatomicalStructure"
"brand","WrestlingEvent"
"breeder","Animal"
"bridgeCarries","Bridge"
"britishComedyAwards","Comedian"
"britishOpen","Athlete"
"britishWins","Person"
"broadcastArea","Broadcaster"
"broadcastNetwork","Broadcaster"
"broadcastRepeater","Broadcaster"
"broadcastStationClass","Broadcaster"
"broadcastTranslator","Broadcaster"
"bronzeMedalDouble","TennisPlayer"
"bronzeMedalMixed","TennisPlayer"
"bronzeMedalSingle","TennisPlayer"
"bronzeMedalist","SportsEvent"
"budgetYear","Place"
"building","Island"
"buildingEndYear","ArchitecturalStructure"
"buildingStartYear","ArchitecturalStructure"
