"88523363_0_8180214313099580515","0","2","family"
"9834884_0_3871985887467090123","1","2","location"
"91959037_0_7907661684242014480","1","2","computingPlatform"
"90196673_0_5458330029110291950","0","1","binomial"
"13719111_1_5719401842463579519","0","1","binomial"
"54719588_0_8417197176086756912","3","4","country"
"54719588_0_8417197176086756912","3","5","[mid]"
"54719588_0_8417197176086756912","3","6","runtime"
"22864497_0_8632623712684511496","0","1","publisher"
"50245608_0_871275842592178099","0","1","years"
"50245608_0_871275842592178099","0","3","director"
"50245608_0_871275842592178099","0","4","writer"
"50245608_0_871275842592178099","0","5","length"
"36102169_0_7739454799295072814","2","0","computingPlatform"
"36102169_0_7739454799295072814","2","1","publisher"
"53822652_0_5767892317858575530","1","2","years"
"53822652_0_5767892317858575530","1","3","director"
"63450419_0_8012592961815711786","1","2","name"
"66009064_0_9148652238372261251","0","2","deathPlace"
"21245481_0_8730460088443117515","1","0","location"
"26310680_0_5150772059999313798","1","0","usingCountry"
"26310680_0_5150772059999313798","1","2","isoCode"
"26310680_0_5150772059999313798","1","3","countryCode"
"69537082_0_7789694313271016902","1","2","totalPopulation"
"24036779_0_5608105867560183058","0","1","time"
"24036779_0_5608105867560183058","0","5","governmentType"
"8468806_0_4382447409703007384","1","2","country"
"8468806_0_4382447409703007384","1","3","elevation"
"8468806_0_4382447409703007384","1","4","width"
"8468806_0_4382447409703007384","1","5","maximumDepth"
"8468806_0_4382447409703007384","1","6","length"
"39759273_0_1427898308030295194","1","2","years"
"39759273_0_1427898308030295194","1","3","director"
"46671561_0_6122315295162029872","0","1","genre"
"38428277_0_1311643810102462607","1","2","years"
"38428277_0_1311643810102462607","1","3","director"
"35188621_0_6058553107571275232","1","2","releaseDate"
"35188621_0_6058553107571275232","1","3","director"
"25404227_0_2240631045609013057","1","2","years"
"25404227_0_2240631045609013057","1","3","director"
"20135078_0_7570343137119682530","1","2","starring"
"20135078_0_7570343137119682530","1","3","director"
"69881946_0_1105130426898457358","1","2","years"
"69881946_0_1105130426898457358","1","3","director"
"84548468_0_5955155464119382182","1","2","years"
"84548468_0_5955155464119382182","1","3","director"
"39173938_0_7916056990138658530","1","2","releaseDate"
"39173938_0_7916056990138658530","1","3","director"
"21362676_0_6854186738074119688","1","2","years"
"21362676_0_6854186738074119688","1","3","director"
"58891288_0_1117541047012405958","1","2","starring"
"58891288_0_1117541047012405958","1","3","director"
"11833461_1_3811022039809817402","0","1","publisher"
"11833461_1_3811022039809817402","0","2","releaseDate"
"11833461_1_3811022039809817402","0","3","releaseDate"
"77694908_0_6083291340991074532","1","2","years"
"77694908_0_6083291340991074532","1","3","director"
"43237185_1_3636357855502246981","0","2","almaMater"
"43237185_1_3636357855502246981","0","3","doctoralAdvisor"
"34041816_1_4749054164534706977","1","3","iataLocationIdentifier"
"29414811_12_251152470253168163","1","3","computingPlatform"
"29414811_12_251152470253168163","1","4","developer"
"16767252_0_2409448375013995751","1","2","years"
"16767252_0_2409448375013995751","1","3","director"
"75367212_2_2745466355267233390","0","1","[mid]"
"75367212_2_2745466355267233390","0","2","publisher"
"29414811_13_8724394428539174350","1","3","computingPlatform"
"29414811_13_8724394428539174350","1","4","developer"
"60319454_0_3938426910282115527","0","1","binomial"
"60319454_0_3938426910282115527","0","2","name"
"29414811_2_4773219892816395776","1","2","genre"
"29414811_2_4773219892816395776","1","3","computingPlatform"
"29414811_2_4773219892816395776","1","4","developer"
"41336118_0_4331895026409635103","0","1","locationCountry"
"41336118_0_4331895026409635103","0","2","industry"
"41336118_0_4331895026409635103","0","3","length"
"41336118_0_4331895026409635103","0","5","length"
"29414811_6_8221428333921653560","1","2","genre"
"29414811_6_8221428333921653560","1","3","computingPlatform"
"29414811_6_8221428333921653560","1","4","developer"
"14380604_4_3329235705746762392","1","2","location"
"14380604_4_3329235705746762392","1","3","industry"
"14380604_4_3329235705746762392","1","4","logo"
"14380604_4_3329235705746762392","1","6","imageSize"
"50270082_0_444360818941411589","1","2","imageSize"
"14067031_0_559833072073397908","0","1","officialLanguage"
"14067031_0_559833072073397908","0","5","capital"
"14067031_0_559833072073397908","0","7","currency"
"39650055_5_7135804139753401681","1","3","industry"
