"88523363_0_8180214313099580515","0","Eukaryote Plant Species"
"88523363_0_8180214313099580515","2","Eukaryote Plant Species"
"9834884_0_3871985887467090123","1","Building Location Museum Place ArchitecturalStructure"
"9834884_0_3871985887467090123","2","Country Place PopulatedPlace Location"
"91959037_0_7907661684242014480","1","Work VideoGame Software"
"90196673_0_5458330029110291950","0","Eukaryote Bird Species Animal"
"13719111_1_5719401842463579519","0","Eukaryote Bird Species Animal"
"54719588_0_8417197176086756912","3","Wikidata:Q11424 Work Film"
"54719588_0_8417197176086756912","5","Person"
"54719588_0_8417197176086756912","4","Country Place PopulatedPlace Location"
"22864497_0_8632623712684511496","0","Work VideoGame Software"
"22864497_0_8632623712684511496","1","Company Organisation"
"50245608_0_871275842592178099","0","Wikidata:Q11424 Work Film"
"50245608_0_871275842592178099","3","Person"
"50245608_0_871275842592178099","4","Person"
"99070098_0_2074872741302696997","1","Location Place NaturalPlace Mountain"
"36102169_0_7739454799295072814","1","Company Organisation"
"36102169_0_7739454799295072814","2","Work VideoGame Software"
"53822652_0_5767892317858575530","3","Person"
"53822652_0_5767892317858575530","1","Wikidata:Q11424 Work Film"
"63450419_0_8012592961815711786","1","Eukaryote Plant Species"
"66009064_0_9148652238372261251","0","BaseballPlayer Person Athlete"
"66009064_0_9148652238372261251","2","City Location Place PopulatedPlace Settlement"
"41480166_0_6681239260286218499","0","Cleric Person Saint"
"21245481_0_8730460088443117515","1","BodyOfWater Place Location Lake NaturalPlace"
"21245481_0_8730460088443117515","0","Location Place Region PopulatedPlace AdministrativeRegion"
"28086084_0_3127660530989916727","0","Cleric Person Saint"
"33401079_0_9127583903019856402","0","Scientist Person"
"26310680_0_5150772059999313798","1","Currency"
"26310680_0_5150772059999313798","0","Country Place PopulatedPlace Location"
"69537082_0_7789694313271016902","1","Country Place PopulatedPlace Location"
"24036779_0_5608105867560183058","0","Country Place PopulatedPlace Location"
"8468806_0_4382447409703007384","1","BodyOfWater Place Location Lake NaturalPlace"
"8468806_0_4382447409703007384","2","Country Place PopulatedPlace Location"
